chWindCode,chCode,nDate,nTime,nOpen,nHigh,nLow,nClose,iVolume,iTurover,nMatchItems,nInterest,nTrend
600000.SH,600000,2016-07-01,150000000,15.57,15.96,15.5399,15.92,25106479,394802030,1966,0,0
600000.SH,600000,2016-07-04,145900000,15.8599,16.0299,15.8,15.9299,21411650,341120770,2243,0,1
600000.SH,600000,2016-07-05,145900000,15.9399,15.9499,15.75,15.7899,16171615,255727220,2144,0,0
600000.SH,600000,2016-07-06,150000000,15.71,15.7599,15.6099,15.64,22976510,360070160,2199,0,0
600000.SH,600000,2016-07-07,145900000,15.63,15.64,15.4499,15.57,24498042,380536330,2367,0,0
600000.SH,600000,2016-07-08,145900000,15.55,15.56,15.4399,15.4499,14901331,230568190,2272,0,0
600000.SH,600000,2016-07-11,150000000,15.56,15.57,15.4,15.4299,22852491,354003560,2454,0,0
600000.SH,600000,2016-07-12,145900000,15.48,15.65,15.4499,15.64,25545130,397267010,2447,0,1
600000.SH,600000,2016-07-13,145900000,15.65,15.97,15.64,15.7899,36238056,573546770,2529,0,1
600000.SH,600000,2016-07-14,150000000,15.7699,15.8399,15.64,15.6999,16883421,265364880,2212,0,0
600000.SH,600000,2016-07-15,145900000,15.71,15.75,15.65,15.71,15998100,251152940,1860,0,1
600000.SH,600000,2016-07-18,145900000,15.73,15.91,15.66,15.7699,27766982,438169690,2441,0,1
600000.SH,600000,2016-07-19,145900000,15.7699,15.8,15.65,15.73,17179816,269908280,2382,0,0
600000.SH,600000,2016-07-20,150000000,15.6999,15.7599,15.63,15.75,14866526,233284410,2285,0,1
600000.SH,600000,2016-07-21,150000000,15.74,15.8699,15.6999,15.83,22020445,348156590,2256,0,1
600000.SH,600000,2016-07-22,150000000,15.81,15.82,15.58,15.63,16711700,262066570,2170,0,0
600000.SH,600000,2016-07-25,145900000,15.63,15.7599,15.63,15.6899,11441970,179598100,1657,0,1
600000.SH,600000,2016-07-26,150000000,15.6899,15.7899,15.65,15.74,20462397,321598660,2147,0,1
600000.SH,600000,2016-07-27,145900000,15.73,15.88,15.4499,15.8699,40697330,637937300,2413,0,1
600000.SH,600000,2016-07-28,150000000,15.7699,15.7899,15.65,15.6799,17451372,274345300,2255,0,0
600000.SH,600000,2016-07-29,150000000,15.65,15.71,15.6099,15.6999,14348301,224747560,2245,0,1
